SLIP_SEQ_ID,CREATION_DATE,SITE_ID,START_DATE,END_DATE,DURATION,ITEM_COUNT,AMOUNT_RP,LINE_COUNT
4613457320,2025-01-08 01:00:00,195,2025-01-08 18:47:13,2025-01-08 18:47:55,42,17,482.8,12
4613457237,2025-01-08 01:00:00,195,2025-01-08 19:04:40,2025-01-08 19:04:50,10,1,1460.0,1
4612792388,2025-01-08 01:00:00,195,2025-01-08 08:41:08,2025-01-08 08:42:12,104,1,49.9,1
4613498078,2025-01-08 01:00:00,195,2025-01-08 19:43:24,2025-01-08 19:44:20,96,13,498.4,13
4613585528,2025-01-08 01:00:00,195,2025-01-08 22:21:45,2025-01-08 22:22:00,55,1,10.9,1
4613498048,2025-01-08 01:00:00,195,2025-01-08 19:46:10,2025-01-08 19:46:37,27,2,33.8,2
4612792426,2025-01-08 01:00:00,195,2025-01-08 08:44:06,2025-01-08 08:44:19,13,2,25.0,2
4613532344,2025-01-08 01:00:00,195,2025-01-08 20:25:04,2025-01-08 20:27:06,202,13,412.7,11
4613457317,2025-01-08 01:00:00,195,2025-01-08 19:04:03,2025-01-08 19:04:26,23,5,63.0,2
4613567360,2025-01-08 01:00:00,195,2025-01-08 21:07:19,2025-01-08 21:08:26,107,5,120.5,4
4612825002,2025-01-08 01:00:00,195,2025-01-08 09:03:43,2025-01-08 09:12:30,887,19,395.26,10
4613545937,2025-01-08 01:00:00,195,2025-01-08 20:30:40,2025-01-08 20:31:22,82,5,301.7,4
4613457344,2025-01-08 01:00:00,195,2025-01-08 18:48:31,2025-01-08 18:49:08,77,12,346.2,12
4613457236,2025-01-08 01:00:00,195,2025-01-08 19:04:49,2025-01-08 19:06:15,166,32,1917.6,29
4612824979,2025-01-08 01:00:00,195,2025-01-08 09:20:43,2025-01-08 09:21:05,62,4,105.6,2
4613504566,2025-01-08 01:00:00,195,2025-01-08 19:33:39,2025-01-08 19:34:38,99,31,585.4,28
4613480492,2025-01-08 01:00:00,195,2025-01-08 19:22:31,2025-01-08 19:23:34,103,7,190.9,6
4613585551,2025-01-08 01:00:00,195,2025-01-08 22:10:25,2025-01-08 22:22:31,1206,1,16.0,1
4612946383,2025-01-08 01:00:00,195,2025-01-08 11:31:04,2025-01-08 11:32:27,123,22,2366.0,17
4613581558,2025-01-08 01:00:00,195,2025-01-08 22:00:08,2025-01-08 22:00:43,35,11,176.0,6
4613498052,2025-01-08 01:00:00,195,2025-01-08 19:44:29,2025-01-08 19:45:14,85,4,116.0,4
4613504529,2025-01-08 01:00:00,195,2025-01-08 19:32:16,2025-01-08 19:34:41,225,2,508.9,2
4613019217,2025-01-08 01:00:00,195,2025-01-08 13:01:31,2025-01-08 13:02:18,87,9,415.5,8
4613504554,2025-01-08 01:00:00,195,2025-01-08 19:30:25,2025-01-08 19:31:06,81,5,324.0,4
4613480519,2025-01-08 01:00:00,195,2025-01-08 19:24:07,2025-01-08 19:24:49,42,13,364.0,9
4613480472,2025-01-08 01:00:00,195,2025-01-08 19:21:48,2025-01-08 19:23:07,159,1,79.9,1
4613050179,2025-01-08 01:00:00,195,2025-01-08 13:22:51,2025-01-08 13:27:36,485,15,494.4,14
4613567389,2025-01-08 01:00:00,195,2025-01-08 21:14:21,2025-01-08 21:14:33,12,2,38.0,2
4613515286,2025-01-08 01:00:00,195,2025-01-08 20:01:17,2025-01-08 20:01:30,13,2,303.0,2
4613581543,2025-01-08 01:00:00,195,2025-01-08 21:59:57,2025-01-08 22:02:11,4254,1,99.9,1
4613050239,2025-01-08 01:00:00,195,2025-01-08 13:21:26,2025-01-08 13:21:41,15,1,100.0,1
4613457314,2025-01-08 01:00:00,195,2025-01-08 18:57:45,2025-01-08 19:00:50,4305,71,2589.5,19
4613457267,2025-01-08 01:00:00,195,2025-01-08 18:45:20,2025-01-08 18:50:33,513,27,850.5,19
4613515262,2025-01-08 01:00:00,195,2025-01-08 19:50:09,2025-01-08 19:50:25,16,1,769.0,1
4613103486,2025-01-08 01:00:00,195,2025-01-08 14:05:19,2025-01-08 14:05:41,22,2,77.8,2
4613515235,2025-01-08 01:00:00,195,2025-01-08 20:00:34,2025-01-08 20:03:14,280,13,298.0,13
4613567364,2025-01-08 01:00:00,195,2025-01-08 21:18:07,2025-01-08 21:18:42,35,1,109.9,1
4613457270,2025-01-08 01:00:00,195,2025-01-08 18:58:06,2025-01-08 19:01:07,4301,12,509.48,12
4613103487,2025-01-08 01:00:00,195,2025-01-08 14:06:30,2025-01-08 14:07:52,122,1,619.0,1
4613457275,2025-01-08 01:00:00,195,2025-01-08 18:55:56,2025-01-08 19:00:23,4467,29,1386.8,21
4613480539,2025-01-08 01:00:00,195,2025-01-08 19:24:59,2025-01-08 19:25:31,72,7,126.9,5
4613504572,2025-01-08 01:00:00,195,2025-01-08 19:35:38,2025-01-08 19:37:38,200,41,1637.4,29
4613070781,2025-01-08 01:00:00,195,2025-01-08 13:45:42,2025-01-08 13:46:22,80,1,31.0,1
4613515267,2025-01-08 01:00:00,195,2025-01-08 19:58:30,2025-01-08 19:59:04,74,15,816.9,14
4613545932,2025-01-08 01:00:00,195,2025-01-08 20:44:52,2025-01-08 20:44:59,7,1,93.0,1
4613532402,2025-01-08 01:00:00,195,2025-01-08 20:14:28,2025-01-08 20:18:57,429,3,58.8,3
4612809489,2025-01-08 01:00:00,195,2025-01-08 08:56:41,2025-01-08 08:57:45,104,8,338.0,8
4613585547,2025-01-08 01:00:00,195,2025-01-08 22:21:25,2025-01-08 22:22:29,104,2,56.5,2
4613567394,2025-01-08 01:00:00,195,2025-01-08 21:15:37,2025-01-08 21:16:16,79,13,544.8,6
4613457303,2025-01-08 01:00:00,195,2025-01-08 18:48:24,2025-01-08 18:49:34,110,26,866.8,15
4612840077,2025-01-08 01:00:00,195,2025-01-08 09:30:12,2025-01-08 09:32:38,226,0,1910.0,1
4613504522,2025-01-08 01:00:00,195,2025-01-08 19:36:47,2025-01-08 19:37:58,111,6,624.8,6
4613575241,2025-01-08 01:00:00,195,2025-01-08 21:23:54,2025-01-08 21:31:06,752,9,476.2,9
4613545883,2025-01-08 01:00:00,195,2025-01-08 20:31:40,2025-01-08 20:32:12,72,3,45.5,3
4612871117,2025-01-08 01:00:00,195,2025-01-08 10:25:19,2025-01-08 10:26:03,84,2,28.72,2
4613480543,2025-01-08 01:00:00,195,2025-01-08 19:22:24,2025-01-08 19:23:35,111,10,624.9,9
4613515269,2025-01-08 01:00:00,195,2025-01-08 19:57:21,2025-01-08 19:58:16,95,25,1040.7,20
4613457289,2025-01-08 01:00:00,195,2025-01-08 19:00:30,2025-01-08 19:00:54,24,1,24.9,1
4612920375,2025-01-08 01:00:00,195,2025-01-08 11:06:51,2025-01-08 11:08:28,177,15,949.0,12
4613567403,2025-01-08 01:00:00,195,2025-01-08 21:26:48,2025-01-08 21:27:17,69,63,3400.0,56
4613545923,2025-01-08 01:00:00,195,2025-01-08 20:36:46,2025-01-08 20:36:58,12,1,29.9,1
4613590110,2025-01-08 01:00:00,195,2025-01-08 22:49:31,2025-01-08 22:51:16,185,2,38.4,2
4612920400,2025-01-08 01:00:00,195,2025-01-08 11:25:47,2025-01-08 11:27:27,180,27,1808.1,12
4613581542,2025-01-08 01:00:00,195,2025-01-08 21:43:48,2025-01-08 21:48:09,461,2,10.8,2
4612777450,2025-01-08 01:00:00,195,2025-01-08 08:15:35,2025-01-08 08:18:06,271,1,9.9,1
4613581521,2025-01-08 01:00:00,195,2025-01-08 21:51:47,2025-01-08 21:59:35,788,2,64.8,2
4613019175,2025-01-08 01:00:00,195,2025-01-08 13:00:01,2025-01-08 13:01:13,112,3,90.6,3
4613457242,2025-01-08 01:00:00,195,2025-01-08 18:51:02,2025-01-08 18:51:58,56,6,226.9,6
4613575267,2025-01-08 01:00:00,195,2025-01-08 21:30:19,2025-01-08 21:31:18,99,16,574.9,13
4613498074,2025-01-08 01:00:00,195,2025-01-08 19:43:46,2025-01-08 19:45:25,179,16,847.0,11
4613083495,2025-01-08 01:00:00,195,2025-01-08 13:49:26,2025-01-08 13:50:13,87,8,141.0,7
4613515232,2025-01-08 01:00:00,195,2025-01-08 19:54:47,2025-01-08 19:55:29,82,5,128.5,3
4613515316,2025-01-08 01:00:00,195,2025-01-08 19:57:12,2025-01-08 19:58:52,140,8,219.1,7
4613515242,2025-01-08 01:00:00,195,2025-01-08 19:50:05,2025-01-08 19:51:46,141,2,85.8,2
4613103482,2025-01-08 01:00:00,195,2025-01-08 14:18:59,2025-01-08 14:20:27,168,2,60.8,2
4613567382,2025-01-08 01:00:00,195,2025-01-08 21:19:35,2025-01-08 21:21:10,175,1,17.0,1
4613585517,2025-01-08 01:00:00,195,2025-01-08 22:12:16,2025-01-08 22:20:22,806,6,255.5,5
4613457261,2025-01-08 01:00:00,195,2025-01-08 19:00:24,2025-01-08 19:02:00,176,5,134.0,4
4612792403,2025-01-08 01:00:00,195,2025-01-08 08:33:25,2025-01-08 08:35:20,195,1,16.9,1
4613457338,2025-01-08 01:00:00,195,2025-01-08 18:58:05,2025-01-08 18:59:20,115,27,1555.6,23
4613545900,2025-01-08 01:00:00,195,2025-01-08 20:44:27,2025-01-08 20:46:04,177,3,116.7,3
4613480514,2025-01-08 01:00:00,195,2025-01-08 19:19:47,2025-01-08 19:20:33,86,12,515.0,10
4612903132,2025-01-08 01:00:00,195,2025-01-08 10:55:18,2025-01-08 10:55:22,4,1,155.0,1
4613567357,2025-01-08 01:00:00,195,2025-01-08 21:09:26,2025-01-08 21:12:41,315,5,61.5,4
4613532368,2025-01-08 01:00:00,195,2025-01-08 20:22:27,2025-01-08 20:23:04,77,10,251.1,10
4613480483,2025-01-08 01:00:00,195,2025-01-08 19:04:48,2025-01-08 19:09:19,471,31,1083.6,28
4612985455,2025-01-08 01:00:00,195,2025-01-08 12:24:26,2025-01-08 12:25:02,76,11,561.2,7
4613480541,2025-01-08 01:00:00,195,2025-01-08 19:24:37,2025-01-08 19:24:45,8,1,59.0,1
4613567340,2025-01-08 01:00:00,195,2025-01-08 21:06:01,2025-01-08 21:13:53,752,2,75.8,2
4613480553,2025-01-08 01:00:00,195,2025-01-08 19:07:24,2025-01-08 19:11:10,386,13,214.7,7
4613006747,2025-01-08 01:00:00,195,2025-01-08 12:26:41,2025-01-08 12:27:48,107,17,1068.3,13
4613515265,2025-01-08 01:00:00,195,2025-01-08 19:54:20,2025-01-08 19:57:14,294,41,1589.6,34
4613545924,2025-01-08 01:00:00,195,2025-01-08 20:33:17,2025-01-08 20:33:35,18,2,54.3,2
4613575285,2025-01-08 01:00:00,195,2025-01-08 21:23:36,2025-01-08 21:28:30,494,13,401.0,10
4613031981,2025-01-08 01:00:00,195,2025-01-08 13:07:48,2025-01-08 13:10:29,281,6,62.6,5
4613581540,2025-01-08 01:00:00,195,2025-01-08 21:49:51,2025-01-08 22:02:29,5278,13,309.0,10
4613545944,2025-01-08 01:00:00,195,2025-01-08 20:28:15,2025-01-08 20:29:06,91,3,112.0,3
4613480505,2025-01-08 01:00:00,195,2025-01-08 19:21:54,2025-01-08 19:22:49,95,13,310.0,8
4613103488,2025-01-08 01:00:00,195,2025-01-08 14:05:48,2025-01-08 14:06:22,74,2,97.2,1
4613457351,2025-01-08 01:00:00,195,2025-01-08 18:56:14,2025-01-08 18:59:36,322,78,4023.1,59
4613498079,2025-01-08 01:00:00,195,2025-01-08 19:44:26,2025-01-08 19:45:38,112,18,812.0,17
4613504506,2025-01-08 01:00:00,195,2025-01-08 19:35:34,2025-01-08 19:37:38,204,7,103.0,5
